SCH_CODE,DISTCODE,SCH_NAME,School_address_for_geocode,SCH_CITY,SCH_STATE,SCH_ZIP,SCH_STATUS,SCH_LEVEL_code,school_level,School_type_code,School_type,geocode_amentity,Longitude_geocode,Latitude_geocode,Updated,updated_by
35124,35,Randall Holden School,61 Hoxsie Avenue,Warwick,RI,02889,,20,Elementary,1,Public,building,-71.409249,41.73147,4/17/19,RPeters
35129,35,John Wilkes School,50 Child Lane,Warwick,RI,02886,,20,Elementary,1,Public,building,-71.43441,41.706451,4/17/19,RPeters
35125,35,Francis School,325 Maintonomo Drive,Warwick,RI,02888,,20,Elementary,1,Public,building,-71.405027,41.743665,4/17/19,RPeters
01103,01,Primrose Hill School,60 Middle Highway,Barrington,RI,02806,1,12,PK-3,1,Public,building,-71.32978,41.75371,3/22/19,MJJames
01104,01,Nayatt School,400 Nayatt Road,Barrington,RI,02806,1,12,PK-3,1,Public,building,-71.30619,41.72988,3/22/19,MJJames
01105,01,Hampden Meadows School,297 New Meadow Road,Barrington,RI,02806,1,20,Elementary,1,Public,building,-71.30146,41.75386,3/22/19,MJJames
01106,01,Barrington High School,220 Lincoln Avenue,Barrington,RI,02806,1,40,Secondary,1,Public,amenity,-71.32062,41.74753,3/22/19,MJJames
01108,01,Barrington Middle School,261 Middle Highway,Barrington,RI,02806,1,30,Middle,1,Public,building,-71.33342,41.74443,3/22/19,MJJames
01109,01,Sowams Elementary School,364 Sowams Road,Barrington,RI,02806,1,50,PK-3/Elementary,1,Public,place,-71.29387,41.75634,3/22/19,MJJames
01201,01,St. Luke School,10 Waldron Avenue,Barrington,RI,02806,1,50,PK-3/Elementary,2,Parochial,place,-71.33964,41.75065,3/22/19,MJJames
01301,01,St. Andrew's School,63 Federal Road,Barrington,RI,02806,1,54,Elementary/Secondary,3,Private,amenity,-71.32469,41.74939,3/22/19,MJJames
01303,01,Montessori Centre of Barrington,303 Sowams Road,Barrington,RI,02806,1,50,PK-3/Elementary,3,Private,place,-71.2942,41.7533,3/22/19,MJJames
01304,01,JCC at Temple Habonim-Barrington,165 New Meadow Road,Barrington,RI,02806,1,10,PK Only,3,Private,place,-71.30331,41.74481,3/22/19,MJJames
01322,01,Red Brick School,50 Middle Highway,Barrington,RI,02806,1,12,PK-3,3,Private,place,-71.33106,41.75733,3/22/19,MJJames
01323,01,Kids Quarters Inc.,64 Bay Spring Avenue,Barrington,RI,02806,1,10,PK Only,3,Private,place,-71.34398,41.7479,3/22/19,MJJames
01324,01,Tot's Cooperative Nursery School,461 County Road,Barrington,RI,02806,1,10,PK Only,3,Private,place,-71.31897,41.74922,3/22/19,MJJames
01329,01,Barrington Early Childhood Center,27 College Lane,Barrington,RI,02806,1,10,PK Only,3,Private,place,-71.32695,41.76172,3/22/19,MJJames
01332,01,Barrington Christian Academy,9 Old County Road,Barrington,RI,02806,1,54,Elementary/Secondary,3,Private,place,-71.32717,41.7551,3/22/19,MJJames
03104,03,Burrillville Middle School,2220 Broncos Highway,Burrillville,RI,02830,1,30,Middle,1,Public,place,-71.62261,41.97992,3/22/19,MJJames
03105,03,Steere Farm Elementary School,915 Steere Farm Road,Burrillville,RI,02859,1,20,Elementary,1,Public,highway,-71.67358,41.94517,3/22/19,MJJames
03107,03,William L. Callahan School,75 Callahan School Street,Harrisville,RI,02830,1,20,Elementary,1,Public,place,-71.68586,41.97059,3/22/19,MJJames
03108,03,Austin T. Levy School,135 Harrisville Main Street,Harrisville,RI,02830,1,20,Elementary,1,Public,place,-71.67683,41.96567,3/22/19,MJJames
03109,03,Burrillville High School,425 East Avenue,Harrisville,RI,02830,1,40,Secondary,1,Public,place,-71.66245,41.9693,3/22/19,MJJames
03310,03,Harrisville Preschool,474 Chapel Street,Harrisville,RI,02830,1,10,PK Only,3,Private,place,-71.67873,41.96642,3/22/19,MJJames
03311,03,Community Christian School,113 Church Street,Pascoag,RI,02859,1,52,PK-12,3,Private,place,-71.70564,41.95857,3/22/19,MJJames
04101,04,Ella Risk School,949 Dexter Street,Central Falls,RI,02863,1,20,Elementary,1,Public,place,-71.40005,41.88947,3/22/19,MJJames
04104,04,Capt. G. Harold Hunt School,12 Kendall Street,Central Falls,RI,02863,1,50,PK-3/Elementary,1,Public,place,-71.39807,41.88528,3/22/19,MJJames
04106,04,Veterans Memorial Elementary,150 Fuller Avenue,Central Falls,RI,02863,1,20,Elementary,1,Public,place,-71.39609,41.88925,3/22/19,MJJames
04108,04,Central Falls Senior High School,24 Summer Street,Central Falls,RI,02863,1,40,Secondary,1,Public,place,-71.39105,41.88736,3/22/19,MJJames
04115,04,Dr. Earl F. Calcutt Middle School,112 Washington Street,Central Falls,RI,02863,1,20,Elementary,1,Public,place,-71.39159,41.88965,3/22/19,MJJames
04117,04,Margaret I. Robertson School,135 Hunt Street,Central Falls,RI,02863,1,20,Elementary,1,Public,highway,-71.39394,41.89453,3/22/19,MJJames
04302,04,Play Plus Preschool (YWCA),43 Hawes Street,Central Falls,RI,02863,1,10,PK Only,3,Private,place,-71.38827,41.88334,3/22/19,MJJames
04304,04,The Children's Workshop-CF,151 Hunt Street,Central Falls,RI,02863,1,50,PK-3/Elementary,3,Private,amenity,-71.38986,41.89671,3/22/19,MJJames
04305,04,Progreso Latino Excellence Academy,626 Broad Street,Central Falls,RI,02863,1,50,PK-3/Elementary,3,Private,place,-71.38737,41.88832,3/22/19,MJJames
04601,59,The Learning Community Charter School,21 Lincoln Avenue,Central Falls,RI,02863,1,20,Elementary,6,Charter,amenity,-71.388,41.89253,3/22/19,MJJames
04602,46,Segue Institute for Learning,325 Cowden Street,Central Falls,RI,02863,1,30,Middle,6,Charter,place,-71.39606,41.88837,3/22/19,MJJames
04603,42,Sheila Skip Nowell Leadership Academy (Central Cam,43 Hawes Street,Central Falls,RI,02863,1,40,Secondary,6,Charter,place,-71.38827,41.88334,3/22/19,MJJames
06104,06,Alan Shawn Feinstein Middle School Of Coventry,15 Foster Drive,Coventry,RI,02816,1,30,Middle,1,Public,place,-71.55841,41.69569,3/22/19,MJJames
06109,06,Western Coventry School,4588 Flat River Road,Coventry,RI,02816,1,20,Elementary,1,Public,place,-71.69143,41.69425,3/22/19,MJJames
