reportID,distcode_origin_enter,distcode_dest_enter,enters
68,00,01,29
68,00,03,20
68,00,04,157
68,00,06,37
68,00,07,167
68,00,08,59
68,00,09,18
68,00,10,88
68,00,12,5
68,00,13,7
68,00,15,10
68,00,16,54
68,00,17,40
68,00,19,79
68,00,20,15
68,00,21,63
68,00,22,2
68,00,23,37
68,00,24,48
68,00,25,23
68,00,26,307
68,00,27,64
68,00,28,1048
68,00,30,6
68,00,31,30
68,00,32,47
68,00,33,35
68,00,35,143
68,00,36,67
68,00,38,68
68,00,39,233
68,00,40,2
68,00,48,1
68,00,50,4
68,00,51,3
68,00,52,1
68,00,58,2
68,00,60,9
68,00,67,98
68,00,96,39
68,00,97,20
68,00,98,42
68,00,99,14
68,01,01,4
68,01,10,2
68,01,20,1
68,01,28,1
68,01,35,1
68,01,96,3
68,01,97,1
68,03,03,6
68,03,04,3
68,03,06,1
68,03,07,1
68,03,08,2
68,03,10,3
68,03,13,1
68,03,16,1
68,03,24,1
68,03,26,6
68,03,28,11
68,03,31,4
68,03,33,1
68,03,35,1
68,03,38,1
68,03,39,25
68,03,58,1
68,03,67,2
68,03,96,1
68,03,98,1
68,03,99,1
68,04,03,1
68,04,04,31
68,04,07,3
68,04,08,6
68,04,10,5
68,04,16,8
68,04,17,3
68,04,19,1
68,04,23,2
68,04,24,4
68,04,26,82
68,04,27,1
68,04,28,54
68,04,31,2
68,04,32,1
68,04,33,1
68,04,35,2
68,04,38,8
68,04,39,16
68,04,59,1
68,04,60,1
68,04,67,3
68,06,03,1
68,06,06,12
68,06,07,4
68,06,13,1
68,06,16,3
68,06,17,3
68,06,19,1
68,06,20,1
68,06,23,4
68,06,25,1
68,06,26,4
68,06,28,4
68,06,30,2
68,06,31,1
68,06,32,2
68,06,35,19
68,06,38,28
68,06,39,1
68,06,67,5
68,06,97,6
68,06,98,3
68,06,99,1
68,07,03,4
68,07,06,13
68,07,07,150
68,07,08,1
68,07,09,1
68,07,10,5
68,07,15,2
68,07,16,17
68,07,17,2
68,07,19,5
68,07,20,3
68,07,21,2
68,07,23,5
68,07,24,8
68,07,25,5
68,07,26,11
68,07,27,1
68,07,28,61
68,07,30,1
68,07,31,1
68,07,32,4
68,07,33,2
68,07,35,27
68,07,36,1
68,07,38,15
68,07,39,7
68,07,49,5
68,07,60,2
68,07,67,5
68,07,96,1
68,07,97,4
68,07,98,2
68,07,99,1
68,08,03,2
68,08,04,9
68,08,08,18
68,08,10,2
68,08,17,3
