LEA_CODE,LEA_NAME,LEA_NAME16,LEA_NAME8,SUPTADDRL1,SUPTADDRL2,SUPTADDRL3,SUPTCITY,SUPTSTATE,SUPTZIP,LEA,LEA_LOW_GRADE,LEA_HIGH_GRADE,LEA_TYPE,remove
01,Barrington,Barrington,Barr.,283 County Road,PO Box 95, ,Barrington,RI,02806,Y,PK,12,1,0
03,Burrillville,Burrillville,Burr.,2300 Bronco Highway, , ,Harrisville,RI,02830,Y,PK,12,1,0
04,Central Falls,Central Falls,C. Falls,949 Dexter ST.,Lower level, ,Central Falls,RI,02863,Y,PK,12,1,0
06,Coventry,Coventry,Coventry,1675 Flat River Road, , ,Coventry,RI,02816,Y,PK,12,1,0
07,Cranston,Cranston,Cranston,845 Park Avenue, , ,Cranston,RI,02910,Y,PK,12,1,0
08,Cumberland,Cumberland,Cumb.,2602 Mendon Road, , ,Cumberland,RI,02864,Y,PK,12,1,0
09,East Greenwich,East Greenwich,E. G.,111 Peirce Street, , ,East Greenwich,RI,02818,Y,PK,12,1,0
10,East Providence,East Providence,E. Prov,145 Taunton Avenue, , ,East Providence,RI,02914,Y,PK,12,1,0
12,Foster,Foster,Foster,160 Foster Ctr Rd/Isaac, , ,Foster,RI,02825,Y,PK,05,1,0
13,Glocester,Glocester,Gloceste,Glocester Town Hall,1145 Putnam Pike P.O.Box, ,Chepachet,RI,02814,Y,PK,05,1,0
15,Jamestown,Jamestown,Jamestwn,76 Melrose Avenue, ,76 Melrose Avenue,Jamestown,RI,02835,Y,PK,12,1,0
16,Johnston,Johnston,Johnston,10 Memorial Avenue, , ,Johnston,RI,02919,Y,PK,12,1,0
17,Lincoln,Lincoln,Lincoln,1624 Lonsdale Avenue, ,1624 Lonsdale Avenue,Lincoln,RI,02865,Y,PK,12,1,0
18,Little Compton,Little Compton,L. Compt,28 Commons, , ,Little Compton,RI,02837,Y,PK,12,1,0
19,Middletown,Middletown,Middltwn,26 Oliphant Lane, , ,Middletown,RI,02842,Y,PK,12,1,0
