schYear,distcode,distname,gradelevel,adm,tot_enrolls,enrolls,exits,enrolls_yr,mobRate,mobRate1,stabRate,
2017-18,01,Barrington,E,"1,412.00","1,455.00",52.00,28.00,"1,376.00",5.50,5.67,94.57,
2017-18,01,Barrington,H,"1,142.83","1,184.00",18.00,18.00,"1,149.00",3.04,3.15,97.04,
2017-18,01,Barrington,M,789.67,801.00,10.00,11.00,780.00,2.62,2.66,97.38,
2017-18,03,Burrillville,E,909.11,949.00,37.00,34.00,881.00,7.48,7.81,92.83,
2017-18,03,Burrillville,H,776.91,815.00,22.00,38.00,756.00,7.36,7.72,92.76,
2017-18,03,Burrillville,M,540.65,557.00,18.00,12.00,529.00,5.39,5.55,94.97,
2017-18,04,Central Falls,E,"1,154.56","1,345.00",190.00,165.00,"1,017.00",26.39,30.75,75.61,
2017-18,04,Central Falls,H,674.44,840.00,157.00,151.00,563.00,36.67,45.67,67.02,
2017-18,04,Central Falls,M,721.01,824.00,110.00,92.00,635.00,24.51,28.02,77.06,
2017-18,06,Coventry,E,"2,003.59","2,092.00",82.00,79.00,"1,932.00",7.70,8.04,92.35,
2017-18,06,Coventry,H,"1,490.28","1,563.00",44.00,87.00,"1,440.00",8.38,8.79,92.13,
2017-18,06,Coventry,M,"1,124.75","1,164.00",32.00,35.00,"1,098.00",5.76,5.96,94.33,
2017-18,07,Cranston,E,"4,536.35","4,775.00",218.00,267.00,"4,321.00",10.16,10.69,90.49,
2017-18,07,Cranston,H,"3,293.06","3,620.00",231.00,335.00,"3,090.00",15.64,17.19,85.36,
2017-18,07,Cranston,M,"2,492.03","2,612.00",118.00,124.00,"2,381.00",9.26,9.71,91.16,
2017-18,08,Cumberland,E,"2,056.47","2,175.00",110.00,118.00,"1,966.00",10.48,11.09,90.39,
2017-18,08,Cumberland,H,"1,405.10","1,514.00",75.00,109.00,"1,336.00",12.15,13.10,88.24,
2017-18,08,Cumberland,M,"1,107.67","1,160.00",41.00,52.00,"1,072.00",8.02,8.40,92.41,
2017-18,09,East Greenwich,E,"1,044.30","1,070.00",26.00,21.00,"1,024.00",4.39,4.50,95.70,
2017-18,09,East Greenwich,H,755.81,775.00,5.00,23.00,749.00,3.61,3.70,96.65,
2017-18,09,East Greenwich,M,634.68,652.00,12.00,21.00,621.00,5.06,5.20,95.25,
2017-18,10,East Providence,E,"2,438.88","2,575.00",104.00,146.00,"2,339.00",9.71,10.25,90.83,
2017-18,10,East Providence,H,"1,539.31","1,638.00",47.00,130.00,"1,471.00",10.81,11.50,89.80,
2017-18,10,East Providence,M,"1,218.29","1,275.00",36.00,61.00,"1,185.00",7.61,7.96,92.94,
2017-18,12,Foster,E,261.57,270.00,5.00,9.00,256.00,5.19,5.35,94.81,
2017-18,13,Glocester,E,530.61,544.00,16.00,11.00,518.00,4.96,5.09,95.22,
2017-18,15,Jamestown,E,247.27,259.00,10.00,14.00,237.00,9.27,9.71,91.51,
2017-18,15,Jamestown,H,3.37,3.00,0.00,0.00,3.00,0.00,0.00,100.00,
2017-18,15,Jamestown,M,219.93,226.00,5.00,7.00,214.00,5.31,5.46,94.69,
2017-18,16,Johnston,E,"1,459.59","1,532.00",65.00,72.00,"1,398.00",8.94,9.39,91.25,
2017-18,16,Johnston,H,939.37,993.00,48.00,68.00,882.00,11.68,12.35,88.82,
2017-18,16,Johnston,M,793.75,822.00,38.00,23.00,764.00,7.42,7.69,92.94,
2017-18,17,Lincoln,E,"1,362.62","1,421.00",62.00,51.00,"1,309.00",7.95,8.29,92.12,
2017-18,17,Lincoln,H,870.81,917.00,25.00,52.00,844.00,8.40,8.84,92.04,
2017-18,17,Lincoln,M,783.04,825.00,27.00,42.00,758.00,8.36,8.81,91.88,
2017-18,18,Little Compton,E,148.13,156.00,7.00,7.00,142.00,8.97,9.45,91.03,
