schYear,distcode,distname,schcode,schname,gradelevel,adm,tot_enrolls,enrolls,exits,enrolls_yr,mobRate,mobRate1,stabRate
2017-18,01,Barrington,01103,Primrose Hill School,E,300.68,310.00,14.00,5.00,291.00,6.13,6.32,93.87
2017-18,01,Barrington,01104,Nayatt School,E,333.09,349.00,20.00,7.00,323.00,7.74,8.11,92.55
2017-18,01,Barrington,01105,Hampden Meadows School,E,525.76,538.00,14.00,10.00,514.00,4.46,4.56,95.54
2017-18,01,Barrington,01106,Barrington High School,H,1126.77,1168.00,16.00,16.00,1137.00,2.74,2.84,97.35
2017-18,01,Barrington,01108,Barrington Middle School,M,781.81,793.00,9.00,10.00,774.00,2.40,2.43,97.60
2017-18,01,Barrington,01109,Sowams Elementary School,E,247.98,254.00,4.00,6.00,244.00,3.94,4.03,96.06
2017-18,01,Barrington,01190,Tuitioned Out,E,4.49,4.00,0.00,0.00,4.00,0.00,0.00,100.00
2017-18,01,Barrington,01190,Tuitioned Out,H,16.06,16.00,2.00,2.00,12.00,25.00,24.90,75.00
2017-18,01,Barrington,01190,Tuitioned Out,M,7.86,8.00,1.00,1.00,6.00,25.00,25.44,75.00
2017-18,03,Burrillville,03104,Burrillville Middle School,M,537.46,554.00,17.00,12.00,527.00,5.23,5.40,95.13
2017-18,03,Burrillville,03105,Steere Farm Elementary School,E,335.53,346.00,7.00,10.00,329.00,4.91,5.07,95.09
2017-18,03,Burrillville,03107,William L. Callahan School,E,308.53,325.00,20.00,12.00,293.00,9.85,10.37,90.15
2017-18,03,Burrillville,03108,Austin T. Levy School,E,259.73,273.00,9.00,12.00,255.00,7.69,8.09,93.41
2017-18,03,Burrillville,03109,Burrillville High School,H,752.37,786.00,15.00,35.00,737.00,6.36,6.65,93.77
2017-18,03,Burrillville,03190,Burrillville Public Schools,H,18.82,23.00,6.00,2.00,15.00,34.78,42.52,65.22
2017-18,03,Burrillville,03190,Tuitioned Out,E,5.31,5.00,1.00,0.00,4.00,20.00,18.83,80.00
2017-18,03,Burrillville,03190,Tuitioned Out,H,5.73,6.00,1.00,1.00,4.00,33.33,34.92,66.67
2017-18,03,Burrillville,03190,Tuitioned Out,M,3.19,3.00,1.00,0.00,2.00,33.33,31.36,66.67
2017-18,04,Central Falls,04101,Ella Risk School,E,445.30,501.00,64.00,47.00,398.00,22.16,24.93,79.44
2017-18,04,Central Falls,04106,Veterans Memorial Elementary,E,506.17,590.00,81.00,82.00,440.00,27.63,32.20,74.58
2017-18,04,Central Falls,04108,Central Falls Senior High School,H,663.20,829.00,153.00,151.00,556.00,36.67,45.84,67.07
2017-18,04,Central Falls,04115,Dr. Earl F. Calcutt Middle School,M,715.04,816.00,107.00,89.00,633.00,24.02,27.41,77.57
2017-18,04,Central Falls,04117,Margaret I. Robertson School,E,197.73,248.00,44.00,35.00,175.00,31.85,39.95,70.56
2017-18,04,Central Falls,04190,Tuitioned Out,E,5.36,6.00,1.00,1.00,4.00,33.33,37.32,66.67
2017-18,04,Central Falls,04190,Tuitioned Out,H,11.24,11.00,4.00,0.00,7.00,36.36,35.59,63.64
2017-18,04,Central Falls,04190,Tuitioned Out,M,5.97,8.00,3.00,3.00,2.00,75.00,100.56,25.00
2017-18,06,Coventry,06104,Alan Shawn Feinstein Middle School Of Coventry,M,1120.30,1159.00,31.00,34.00,1095.00,5.61,5.80,94.48
2017-18,06,Coventry,06109,Western Coventry School,E,364.34,376.00,12.00,8.00,356.00,5.32,5.49,94.68
2017-18,06,Coventry,06112,Hopkins Hill School,E,392.33,415.00,25.00,21.00,369.00,11.08,11.72,88.92
2017-18,06,Coventry,06116,Tiogue School,E,363.71,382.00,23.00,14.00,345.00,9.69,10.17,90.31
2017-18,06,Coventry,06117,Blackrock School,E,346.19,365.00,16.00,17.00,333.00,9.04,9.53,91.23
2017-18,06,Coventry,06119,Coventry High School,H,1474.38,1542.00,37.00,81.00,1431.00,7.65,8.00,92.80
2017-18,06,Coventry,06121,Washington Oak School,E,536.84,552.00,5.00,18.00,529.00,4.17,4.28,95.83
2017-18,06,Coventry,06190,Coventry Public Schools,H,7.29,12.00,5.00,5.00,2.00,83.33,137.20,16.67
2017-18,06,Coventry,06190,Tuitioned Out,E,0.18,2.00,1.00,1.00,,100.00,1125.001,
2017-18,06,Coventry,06190,Tuitioned Out,H,8.61,9.00,2.00,1.00,7.00,33.33,34.84,77.78
2017-18,06,Coventry,06190,Tuitioned Out,M,4.45,5.00,1.00,1.00,3.00,40.00,44.94,60.00
2017-18,07,Cranston,07103,Oak Lawn School,E,204.71,208.00,3.00,3.00,202.00,2.88,2.93,97.12
2017-18,07,Cranston,07110,Daniel D. Waterman School,E,244.65,257.00,12.00,16.00,230.00,10.89,11.44,89.49
2017-18,07,Cranston,07112,Chester W. Barrows School,E,187.52,203.00,10.00,16.00,178.00,12.81,13.87,87.68
2017-18,07,Cranston,07113,Cranston High School East,H,1625.98,1793.00,114.00,153.00,1546.00,14.89,16.42,86.22
2017-18,07,Cranston,07115,Hugh B. Bain Middle School,M,610.28,653.00,43.00,41.00,574.00,12.86,13.76,87.90
2017-18,07,Cranston,07116,William R. Dutemple School,E,302.66,322.00,13.00,25.00,286.00,11.80,12.56,88.82
2017-18,07,Cranston,07117,Edward S. Rhodes School,E,178.05,188.00,11.00,14.00,169.00,13.30,14.04,89.89
2017-18,07,Cranston,07118,Eden Park School,E,284.83,302.00,23.00,17.00,265.00,13.25,14.04,87.75
2017-18,07,Cranston,07119,Gladstone Street School,E,526.98,566.00,36.00,30.00,502.00,11.66,12.52,88.69
2017-18,07,Cranston,07120,Stadium School,E,271.38,284.00,10.00,14.00,262.00,8.45,8.84,92.25
2017-18,07,Cranston,07121,Woodridge School,E,305.66,319.00,10.00,15.00,295.00,7.84,8.18,92.48
2017-18,07,Cranston,07122,Garden City School,E,278.18,292.00,8.00,17.00,268.00,8.56,8.99,91.78
2017-18,07,Cranston,07123,Park View Middle School,M,674.68,716.00,39.00,40.00,641.00,11.03,11.71,89.53
