reportID,schcode_origin_enter,schcode_dest_enter,enters
68, , ,146853
68,00000,01103,3
68,00000,01104,6
68,00000,01105,4
68,00000,01106,8
68,00000,01108,5
68,00000,01109,2
68,00000,01190,1
68,00000,03104,8
68,00000,03105,1
68,00000,03107,3
68,00000,03108,3
68,00000,03109,5
68,00000,04101,32
68,00000,04104,5
68,00000,04105,12
68,00000,04106,28
68,00000,04108,51
68,00000,04109,5
68,00000,04115,24
68,00000,06104,10
68,00000,06109,3
68,00000,06112,4
68,00000,06114,2
68,00000,06117,3
68,00000,06119,14
68,00000,06190,1
68,00000,07103,2
68,00000,07110,2
68,00000,07112,5
68,00000,07113,38
68,00000,07115,6
68,00000,07116,4
68,00000,07117,1
68,00000,07118,3
68,00000,07119,20
68,00000,07120,4
68,00000,07121,4
68,00000,07122,5
68,00000,07123,14
68,00000,07124,3
68,00000,07125,11
68,00000,07126,9
68,00000,07127,2
68,00000,07128,2
68,00000,07129,5
68,00000,07130,10
68,00000,07134,6
68,00000,07135,2
68,00000,07136,2
68,00000,07190,7
68,00000,07702,98
68,00000,08107,8
68,00000,08108,5
68,00000,08109,5
68,00000,08110,6
68,00000,08112,10
68,00000,08114,12
68,00000,08115,9
68,00000,08116,2
68,00000,08190,2
68,00000,09102,2
68,00000,09105,4
68,00000,09106,7
68,00000,09107,4
68,00000,09190,1
68,00000,10109,15
68,00000,10111,6
68,00000,10112,20
68,00000,10113,3
68,00000,10114,7
68,00000,10116,4
68,00000,10117,2
68,00000,10122,5
68,00000,10123,11
68,00000,10124,10
68,00000,10125,3
68,00000,10190,2
68,00000,12101,5
68,00000,13103,1
68,00000,13104,6
68,00000,15101,1
68,00000,15102,9
68,00000,16103,4
68,00000,16106,3
68,00000,16108,6
68,00000,16109,5
68,00000,16111,11
68,00000,16112,13
68,00000,16114,5
68,00000,16190,7
68,00000,17102,2
68,00000,17106,2
68,00000,17109,5
68,00000,17110,9
68,00000,17112,2
68,00000,17113,5
68,00000,17114,4
68,00000,17117,10
68,00000,17190,1
68,00000,17701,2
68,00000,19106,5
68,00000,19107,10
68,00000,19111,12
68,00000,19112,26
68,00000,19114,24
68,00000,19190,2
68,00000,20102,5
68,00000,20103,3
68,00000,20104,7
68,00000,21102,4
68,00000,21103,3
68,00000,21106,15
68,00000,21110,9
68,00000,21111,11
68,00000,21112,9
68,00000,21114,9
68,00000,21190,3
68,00000,22101,2
68,00000,23105,5
68,00000,23107,2
68,00000,23108,8
68,00000,23109,6
68,00000,23110,4
68,00000,23111,2
68,00000,23112,3
68,00000,23113,2
68,00000,23114,4
68,00000,23190,1
68,00000,24103,9
68,00000,24105,12
68,00000,24106,2
68,00000,24107,5
68,00000,24108,3
68,00000,24109,3
68,00000,24110,2
