SCH_CODE,SCH_NAME,SCH_NAME30,SCH_NAME15,SCH_ADD1,SCH_ADD2,SCH_CITY,SCH_STATE,SCH_ZIP,SCH_LOW_GRADE,SCH_HIGH_GRADE,SCH_STATUS,SCH_CHARTER,SCH_MAGNET,SCH_TITLE1,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,GRADECFG,DISTCODE,OPENDATE,CLOSEDATE,SCH_PK12,SCH_STATE_OPERATED,SCH_ADMINSITE,remove
01103,Primrose Hill School,Primrose Hill School,Primrose Hill,60 Middle Highway, ,Barrington,RI,02806,PK,03,1,N,N,Y,12/19/2002, ,E,01,12/19/2002, ,Y,N,N,0
01104,Nayatt School,Nayatt School,Nayatt School,400 Nayatt Road, ,Barrington,RI,02806,PK,03,1,N,N,N,12/19/2002, ,E,01,12/19/2002, ,Y,N,N,0
01105,Hampden Meadows School,Hampden Meadows School,Hampden Meadows,297 New Meadow Road, ,Barrington,RI,02806,04,05,1,N,N,N,12/19/2002, ,E,01,12/19/2002, ,Y,N,N,0
01106,Barrington High School,Barrington High School,Barrington High,220 Lincoln Avenue, ,Barrington,RI,02806,09,12,1,N,N,N,12/19/2002, ,H,01,12/19/2002, ,N,N,N,0
01107,West Barrington Elementary School,West Barrington School,W. Barrington,Washington Road, ,Barrington,RI,02806, , ,2,N,N,N,12/19/2002,8/1/2010, ,01,12/19/2002,8/1/2010,N,N,N,0
01108,Barrington Middle School,Barrington Middle School,Barrington Mid.,261 Middle Highway, ,Barrington,RI,02806,06,08,1,N,N,Y,12/19/2002, ,M,01,12/19/2002, ,Y,N,N,0
01109,Sowams Elementary School,Sowams Elementary School,Sowams School,364 Sowams Road, ,Barrington,RI,02806,KF,03,1,N,N,N,12/19/2002, ,E,01,12/19/2002, ,Y,N,N,0
01110,Barrington Middle Highway Elementary School,Middle Highway Elementary,Barrington Elem,Middle Highway, ,Barrington,RI,02806, , ,2,N,N,N,12/19/2002,8/1/2010, ,01,12/19/2002,8/1/2010,N,N,N,0
01111,Barrington M. School,Barrington M. School,Barrington M.,Middle Highway, ,Barrington,RI,02806, , ,2,N,N,N,12/19/2002,8/1/2010, ,01,12/19/2002,8/1/2010,N,N,N,0
01190,Barrington Public Schools,Barrington Public Schools,Administration,283 County Road,PO Box 95,Barrington,RI,02806,PK,12,1,N,N,N,12/19/2002, ,EMH,01,12/19/2002, ,N,N,Y,0
02101,Walley School,Walley School,Walley School, , , , , , , ,2,N,N,N,12/19/2002,8/1/2010, ,02,12/19/2002,8/1/2010,N,N,N,0
02102,Oliver School,Oliver School,Oliver School, , , , , , , ,2,N,N,N,12/19/2002,8/1/2010, ,02,12/19/2002,8/1/2010,N,N,N,0
02103,Reynolds School,Reynolds School,Reynolds School, , , , , , , ,2,N,N,N,12/19/2002,8/1/2010, ,02,12/19/2002,8/1/2010,N,N,N,0
02104,Guiteras School,Guiteras School,Guiteras School, , , , , , , ,2,N,N,N,12/19/2002,8/1/2010, ,02,12/19/2002,8/1/2010,N,N,N,0
02105,Colt-Andrews School,Colt-Andrews School,Colt-Andrews, , , , , , , ,2,N,N,N,12/19/2002,8/1/2010, ,02,12/19/2002,8/1/2010,N,N,N,0
02106,Rockwell School,Rockwell School,Rockwell School, , , , , , , ,2,N,N,N,12/19/2002,8/1/2010, ,02,12/19/2002,8/1/2010,N,N,N,0
02107,Bristol Senior High School,Bristol High School,Bristol High, , , , , , , ,2,N,N,N,12/19/2002,8/1/2010, ,02,12/19/2002,8/1/2010,N,N,N,0
